 ”∆µ∑÷±Ê¬ ,œ‘ æ∑÷±Ê¬ ,FPS,Ã¯÷° ˝,ª∫≥Â«¯¥Û–°,÷±≤•’ﬂ—”≥Ÿ,—”≥Ÿƒ£ Ω,ªÿ∑≈ÀŸ¬ 
1920x1080,956x538,61,0,5.50 √Î,8.60 √Î,“ª∞„—”≥Ÿ,5839 Kbps
1920x1080,956x538,57,0,5.50 √Î,8.61 √Î,“ª∞„—”≥Ÿ,5839 Kbps
1920x1080,956x538,62,0,6.49 √Î,8.61 √Î,“ª∞„—”≥Ÿ,7197 Kbps
1920x1080,956x538,60,0,5.50 √Î,8.58 √Î,“ª∞„—”≥Ÿ,7197 Kbps
1920x1080,956x538,57,0,6.49 √Î,8.58 √Î,“ª∞„—”≥Ÿ,6427 Kbps
1920x1080,956x538,60,0,6.49 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5538 Kbps
1920x1080,956x538,60,0,5.50 √Î,8.60 √Î,“ª∞„—”≥Ÿ,5538 Kbps
1920x1080,956x538,57,0,6.50 √Î,8.60 √Î,“ª∞„—”≥Ÿ,5254 Kbps
1920x1080,956x538,62,0,5.49 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5254 Kbps
1920x1080,956x538,61,0,6.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5866 Kbps
1920x1080,956x538,62,0,5.49 √Î,8.62 √Î,“ª∞„—”≥Ÿ,6549 Kbps
1920x1080,956x538,61,0,5.49 √Î,8.61 √Î,“ª∞„—”≥Ÿ,6549 Kbps
1920x1080,956x538,58,0,6.50 √Î,8.61 √Î,“ª∞„—”≥Ÿ,5521 Kbps
1920x1080,956x538,61,0,5.49 √Î,8.60 √Î,“ª∞„—”≥Ÿ,5521 Kbps
1920x1080,956x538,57,0,6.48 √Î,8.60 √Î,“ª∞„—”≥Ÿ,5705 Kbps
1920x1080,956x538,65,1,5.49 √Î,8.60 √Î,“ª∞„—”≥Ÿ,5705 Kbps
1920x1080,956x538,62,1,6.49 √Î,8.60 √Î,“ª∞„—”≥Ÿ,6206 Kbps
1920x1080,956x538,60,1,5.50 √Î,8.58 √Î,“ª∞„—”≥Ÿ,6206 Kbps
1920x1080,956x538,57,1,6.50 √Î,8.58 √Î,“ª∞„—”≥Ÿ,5591 Kbps
1920x1080,956x538,61,1,6.49 √Î,8.58 √Î,“ª∞„—”≥Ÿ,6043 Kbps
1920x1080,956x538,60,1,5.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6043 Kbps
1920x1080,956x538,58,1,6.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6099 Kbps
1920x1080,956x538,57,1,5.49 √Î,8.61 √Î,“ª∞„—”≥Ÿ,6099 Kbps
1920x1080,956x538,62,1,6.49 √Î,8.61 √Î,“ª∞„—”≥Ÿ,6220 Kbps
1920x1080,956x538,58,1,5.49 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6220 Kbps
1920x1080,956x538,58,1,6.49 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5430 Kbps
1920x1080,956x538,62,1,6.50 √Î,8.60 √Î,“ª∞„—”≥Ÿ,6000 Kbps
1920x1080,956x538,61,1,5.49 √Î,8.61 √Î,“ª∞„—”≥Ÿ,6000 Kbps
1920x1080,956x538,57,1,6.50 √Î,8.61 √Î,“ª∞„—”≥Ÿ,6023 Kbps
1920x1080,956x538,62,1,5.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6023 Kbps
1920x1080,956x538,59,1,6.49 √Î,8.58 √Î,“ª∞„—”≥Ÿ,5978 Kbps
